OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
374,2012/07/17,65-2,0.22,0.23,0.21
375,2012/06/12,65-3,0.37,0.38,0.34
376,2012/06/15,65-4,0.32,0.28,0.25
377,2012/06/17,65-5,0.41,0.41,0.37
378,2012/06/22,65-6,0.36,0.33,0.3
379,2012/06/23,65-7,0.15,0.17,0.16
380,2012/06/25,65-8,0.28,0.31,0.28
381,2012/06/27,65-9,0.16,0.17,0.16
382,2012/07/05,65-12,0.33,0.32,0.29
383,2012/07/10,65-14,0.25,0.24,0.21
384,2012/06/07,71-1,0.13,0.12,0.09
385,2012/07/09,71-2,0.12,0.12,0.09
386,2012/07/17,71-2,0.11,0.1,0.08
387,2012/06/12,71-3,0.18,0.18,0.13
388,2012/07/19,71-3,0.08,0.08,0.06
389,2012/06/15,71-4,0.17,0.17,0.12
390,2012/06/17,71-5,0.15,0.16,0.12
391,2012/06/22,71-6,0.17,0.17,0.13
392,2012/06/23,71-7,0.15,0.15,0.11
393,2012/06/25,71-8,0.06,0.07,0.05
394,2012/06/27,71-9,0.13,0.13,0.1
395,2012/06/29,71-10,0.1,0.11,0.08
396,2012/07/03,71-11,0.02,0.02,0.01
397,2012/07/05,71-12,0.1,0.12,0.09
398,2012/07/08,71-13,0.07,0.07,0.05
399,2012/07/10,71-14,0.11,0.1,0.08
400,2012/07/13,71-15,0.08,0.07,0.05
401,2012/07/14,71-16,0.08,0.08,0.06
402,2012/07/17,72-2,0.11,0.09,0.07
403,2012/06/12,72-3,0.17,0.19,0.15
404,2012/07/19,72-3,0.06,0.07,0.06
405,2012/06/15,72-4,0.16,0.17,0.14
406,2012/06/17,72-5,0.13,0.15,0.11
407,2012/06/22,72-6,0.17,0.15,0.12
408,2012/06/23,72-7,0.15,0.13,0.11
409,2012/06/25,72-8,0.09,0.09,0.07
410,2012/06/27,72-9,0.07,0.07,0.05
411,2012/06/29,72-10,0.35,0.57,0.45
412,2012/07/03,72-11,0.02,0.02,0.02
413,2012/07/05,72-12,0.14,0.13,0.1
414,2012/07/08,72-13,0.18,0.16,0.13
415,2012/07/10,72-14,0.19,0.22,0.17
416,2012/07/14,72-16,0.06,0.05,0.04
417,2012/07/17,73-1,0.07,0.08,0.06
418,2012/06/12,73-2,0.18,0.17,0.13
419,2012/06/12,73-3,0.2,0.21,0.17
420,2012/06/17,73-5,0.29,0.33,0.26
421,2012/06/22,73-6,0.24,0.22,0.17
422,2012/06/23,73-7,0.11,0.1,0.08
423,2012/06/25,73-8,0.17,0.17,0.13
424,2012/06/27,73-9,0.16,0.17,0.14
425,2012/07/05,73-12,0.18,0.2,0.16
426,2012/07/08,73-13,0.23,0.23,0.18
427,2012/07/13,73-15,0.24,0.22,0.17
428,2012/07/14,73-16,0.25,0.24,0.19
429,2012/06/07,74-1,0.01,0.01,0.01
430,2012/07/17,74-2,0.22,0.18,0.17
431,2012/06/12,74-3,0.13,0.19,0.18
432,2012/06/17,74-5,0.2,0.2,0.18
433,2012/06/22,74-6,0.19,0.27,0.25
434,2012/06/23,74-7,0.26,0.23,0.21
435,2012/06/25,74-8,0.24,0.2,0.18
436,2012/06/27,74-9,0.33,0.27,0.25
437,2012/07/05,74-12,0.34,0.39,0.36
438,2012/07/08,74-13,0.24,0.22,0.2
439,2012/07/10,74-14,0.16,0.19,0.17
440,2012/07/13,74-15,0.38,0.35,0.32
441,2012/07/14,74-16,0.22,0.22,0.16
442,2012/06/07,81-1,0.08,0.09,0.07
443,2012/07/17,81-2,0.25,0.2,0.17
444,2012/06/12,81-2,0.15,0.19,0.16
445,2012/06/12,81-3,0.22,0.21,0.17
446,2012/07/19,81-3,0.13,0.15,0.12
447,2012/06/15,81-4,0.17,0.19,0.16
448,2012/06/17,81-5,0.21,0.23,0.19
449,2012/06/22,81-6,0.24,0.21,0.18
